date,title,content
"June 4, 2019 | Allegra Abramo",Getting fish to the table,"As a philosophy-student-turned-fishmonger, Zach Koehn often heard his customers talking about how healthy fish is—and how expensive it can be.Yet Koehn knew cheap fish were available. Some groups, including the Monterey, CA, fish company where he worked, were even connecting inexpensive surplus fish with low-income populations that could benefit from it.But, he wondered, “why is this not happening more?”While pursuing a PhD in the UW’s School of Aquatic and Fisheries Sciences, Koehn discovered the perfect opportunity to investigate that question: the UW’s inaugural Population Health Initiative grants. The grants encourage cross-disciplinary teams to study key challenges in population health.Koehn helped write a winning proposal that brought together faculty and staff from the UW Department of Environmental & Occupational Health Sciences (DEOHS) and other departments and programs across the College of the Environment and the School of Public Health.Koehn worked with Jennifer Otten, DEOHS associate professor, to identify nutritionally vulnerable populations along the West Coast. By overlaying fisheries data, Koehn was able to pinpoint hot spots where large amounts of uncaught or unused fish could potentially be available.Otten was surprised by some of the preliminary findings.“I thought we had overfished everything,” said Otten, who is also core faculty in the UW Nutritional Sciences program. “I went into the project feeling like, ‘What could be out there?’”It turns out that stocks of West Coast groundfish, which include some 60 species, have rebounded in recent decades thanks to careful management. Koehn, too, was amazed by how much extra fish could be harvested while staying below levels that fisheries biologists say are sustainable.For Dover sole alone, he found, at least 20 million servings a year are left in the ocean. At less than $1 per pound off the dock, sole is also very affordable.“The fact that we're leaving millions of servings was shocking,” he said. “And it was also exciting, because to me, it’s a really strong opportunity.”How can all that fish get to people who need it?Researchers uncovered a number of challenges through interviews in coastal communities. Many individuals, as well as cooks in schools and other institutions, are uncertain how to prepare fish, said team member Emilee Quinn, research coordinator at the UW Center for Public Health Nutrition.At the same time, researchers learned about innovative approaches to connecting communities with affordable seafood. In San Diego, for example, processors turned locally caught fish into affordable products that schools could use for dishes such as fish tacos that children loved.“With just a little exposure and work, you can get people excited” about eating fish, Quinn said.Fisheries management focuses on maintaining healthy fish stocks and “on fish as a commodity,” Koehn said.What’s missing from the conversation is the role of fish in health and nutrition. He hopes this study can begin to change that. Beyond pinpointing communities where there’s both a need and an opportunity to provide fish for nutrition, the study also digs into the barriers and successes, Otten noted. “We can also give the stories behind the data.”Koehn plans to complete the study this summer. He’d like to find more organizations interested in getting fish to people who need it, and then review the entire food system to “understand the local context that’s limiting the flow of fish.”“That would be the dream,” Koehn said. “And then use that as a baseline to tell [fisheries regulators] that we need to start actively thinking about fish as a source of nutrition, and not just as a source of revenue.”Other UW investigators involved in the study include: Edward H. Allison, School of Marine and Environmental Affairs; Christopher M. Anderson and Ray Hilborn, School of Aquatic and Fishery Sciences."
"May 31, 2019 | Allegra Abramo",Well water safety,"Albuquerque, NMTo conduct community-based public health research.“What really excites me about what I did in the last two years is being able to respond to a community need.”- KORI VANDERGEESTKori VanDerGeest expected a handful of participants and a lot of awkward silences when she began community interviews for her research project on well water testing in the Yakima Valley.Instead, she encountered packed meeting rooms and community members who were eager to participate, grateful for her work and concerned about the safety of the water flowing from their taps.“People came up after [the meetings] to thank us” for the opportunity to ask questions and share their stories, said VanDerGeest, an MPH student in the UW Department of Environmental & Occupational Health Sciences (DEOHS).VanDerGeest was recognized in May as the department’s Outstanding Master’s student for 2019.“Her ability to engage with different stakeholders stands out,” said Dr. Catherine Karr, DEOHS professor and VanDerGeest’s thesis adviser. “That is a great recipe for someone who wants to do public health work and research that responds to community needs.”In the lower Yakima Valley, many local families rely on loosely regulated private wells for water. The responsibility for ensuring the water is safe falls on well owners.VanDerGeest’s study examined communication methods to promote private testing of well water in this rural, agricultural region with a predominantly Latino population.The state has detected elevated nitrate levels in the region’s groundwater. The state Department of Ecology says sources of nitrates in the area include irrigated agriculture, livestock operations, fertilizers, sewage systems, abandoned wells and other causes.Nitrates don’t impart any smell or taste to drinking water, but their effects can be devastating. Higher levels of nitrates damage the ability of blood cells to carry oxygen in infants, causing “blue baby syndrome,” a sometimes-fatal condition. Studies also link nitrates to birth defects and gastric cancer.Through interviews with stakeholders as well as focus groups with well owners and users, VanDerGeest uncovered a number of barriers to testing and treatment.Among renters, for example, concern about the possibility of losing their housing may discourage them from asking landlords to test the water. Testing can be costly, both in terms of money and time.And installing and maintaining the right water treatment system requires technical expertise that residents may not have.Her research found data visualizations and strong health messages combined with recommended actions to avoid exposure got a positive response from private well users.VanDerGeest’s winding path to public health began with “lots of lasers” while studying atmospheric pollution as a chemistry major at Pomona College.The New Mexico native went on to organize environmental justice campaigns, teach high school biology and physical science and review air pollution permits in Texas.Public health, she eventually realized, was a way of “combining science with community needs in a way that is action-oriented and can be accompanied by policy changes.”It took a trip to Japan for VanDerGeest to discover the University of Washington. When she heard relatives there sing UW’s praises, she made plans to visit the UW and came away impressed by faculty members’ commitment to community partnerships.As part of her research, VanDerGeest presented public comments to the Governor's Interagency Council on Health Disparities and engaged with county and state officials, community organizations and other researchers.VanDerGeest is determined to see her research translate into better outreach to Yakima Valley residents. In collaboration with a student in the College of the Environment, she is developing fact sheets that promote well-water testing and help people understand the results.She also hopes to partner with a local Spanish-language radio station to create a radionovela, a radio drama to engage listeners on the issue of well water contamination and testing.This work “will carry on beyond her,” Dr. Karr predicts.After graduation this month, VanDerGeest plans to continue community-based public health research that integrates qualitative and quantitative methods, ideally back home in New Mexico.VanDerGeest’s research was supported by a grant from the Pacific Northwest Agricultural Safety and Health Center at DEOHS. She also received awards from the Northwest Center for Public Health Practice and the Russell L. Castner Endowed Student Research Fund."
"May 30, 2019 | Jolayne Houtz",Leading by example,"A nationally recognized air pollution researcher at the University of Washington was selected this week as the 2019 outstanding faculty mentor by graduate students in the UW Department of Environmental & Occupational Health Sciences (DEOHS).Professor Lianne Sheppard is an expert in measuring the health effects of exposure to air pollution. Sheppard, also a professor of biostatistics, has served on numerous scientific advisory panels and recently spearheaded an analysis of the weed killer glyphosate that found the widely used herbicide increases the risk of non-Hodgkin lymphoma by 41 percent.Her students say Sheppard’s personal integrity and principled approach to science will have a lasting influence on their lives.In all of my years in academia (both undergrad and grad school), I have not encountered a faculty member like Lianne.Her expertise touches every single DEOHS grad student through a required thesis proposal class. Through Lianne, students learn one of the most essential skills they could learn in graduate school: research planning and proposal writing. Few faculty members have such a wide impact.She prioritizes weekly meetings and check-ins with her students, and these meetings are more than a formality. She takes time to provide substantive feedback to make her students stronger scientists. She challenges them to stretch themselves, and she guides them in setting goals.She helps her students develop strong quantitative research skills, including in analysis planning and data science.And Lianne also runs not one, but two (!) training grants that provide DEOHS students with essential financial support—another way she demonstrates her dedication to student success.Rachel ShafferPhD student, Environmental ToxicologyLianne truly listens to student concerns and has made a big impact in equipping DEOHS students to succeed as researchers and as people.She teaches a course to help students develop research skills through writing and critiquing research proposals, using it to guide students through the essential (and challenging) task of applying their skills to real-world research challenges. She makes the course relevant to students with a broad range of research interests and methodological approaches.This year, she made time in her jam-packed schedule to work with students to support “DEOHS 101,” a fall-quarter course designed to orient incoming students to the department and the graduate student experience.Claire PendergrastMPH student, Environmental and Occupational Health    From Lianne, I have learned that research should always be ethical, reproducible and guided by science every step of the way.She encourages us to be as involved as possible in our areas of interest, regularly sharing events of interest. She has introduced me to quantitative coursework that I have really enjoyed and used in much of my research.Her feedback on my work is always thorough, pushing me to think deeper while providing me with resources to help along the way. She goes above and beyond from what I would expect from any professor or academic adviser.Magali BlancoPhD student, Environmental and Occupational Hygiene"
"May 24, 2019 | Jolayne Houtz",UW research showcase,"Research led by Environmental Health majors in the UW Department of Environmental & Occupational Health Sciences (DEOHS) was featured yesterday at the School of Public Health's Undergraduate Symposium.The annual event showcases student research, internships and capstone experiences across the School’s undergraduate majors and minors.The symposium highlights the breadth of research opportunities available to DEOHS undergraduate students, who complete a required 400-hour internship as part of their academic program.Ten of the 31 research posters selected for the symposium were from DEOHS undergraduates.As an applied science program, the Environmental Health major provides professional training and hands-on experience for the next generation of environmental public health practitioners, said Tania Busch Isaksen, DEOHS lecturer and undergraduate program coordinator.Mariah Dittmore: Using Low Cost Air Monitoring Sensors to Study and Analyze VOC Exposure Levels in Cannabis Grow-OpsAmanda Durkin: Establishing an Air Monitoring Network in the Methow ValleyKatelyn Kern: N95 Mask Distribution Effectiveness in Okanogan CountyJustine Marecaux and Darcy Van Deventer: Wildfire Smoke Risk Communication Efficacy: Using the Extended Parallel Process Model to Summarize Washington State’s 2018 Statewide Smoke Event Public Health MessagingSuhani Patel, Margarita Ankoudinova, Shelby Cansler, Veronica James and Audrey Immel: Wastewater Intervention Approaches for Earthquake Disaster Response: An Integrated Literature Review to Inform Future Response Efforts for Washington StateSilvia Rus: Arsenic in St. Mary’s County Drinking WaterAna Silverstein: Language Barriers in Retail Food EnvironmentsVeda Ting: Content Needs Assessment and Evaluation of N95 Mask Video-Based Education for Wildfire Smoke EventsKate Tokareva: West Nile Virus Surveillance for the Pascua Yaqui Tribe during Summer 2018Darcy Van Deventer and Justine Marecaux: Wildfire Smoke Risk Communication Efficacy: Using the Extended Parallel Process Model to Summarize"
"May 23, 2019 | Amanda Pain",Measuring the toll of wildfires,"Hingham, MAA career in occupational health and an eventual MBA degree.“One thing I will miss about the UW is the opportunity for constant learning and growth.”- AMANDA DURKINAmanda Durkin spent last summer quite literally living and breathing her University of Washington research project.The UW Environmental Health student embedded herself in Washington’s Methow Valley at the height of 2018’s wildfire season as part of a research project on the health risks associated with wildfire smoke.“Having first-hand experience living through an extreme weather event gave me more perspective on the need for air quality monitoring,” Durkin said. “This project taught me a lot, and I enjoyed the community engagement aspects of my work.”Durkin was recognized this month as the 2019 Outstanding Undergraduate student in the UW Department of Environmental & Occupational Health Sciences (DEOHS).During her two months living and working in the area, Durkin was part of a research team placing low-cost air monitors around the Methow Valley to gather data on air quality.She gathered and analyzed data from the monitors and interviewed people living near the monitors to learn about how they used the air monitoring network during the wildfire event. Her work was part of a research project led by her faculty advisers, Nicole Errett and Tania Busch Isaksen, both DEOHS lecturers.She also partnered with the Methow Valley Clean Air Project to help educate residents on which areas suffered from the worst air quality and how to stay healthy as wildfire smoke blanketed the region.""Amanda played a critical role in establishing a community air monitoring network in the Methow Valley area,"" Errett said. ""Because of her energy, enthusiasm and hard work, Methow Valley residents now have important air quality information they can use to inform decisions that impact their health.""In addition to her research work, Durkin spent one day a week assisting the county health department with public health services, including food inspections, water quality testing and permits for wells.Back on campus, she works as an occupational health and safety intern for UW Environmental Health and Safety, conducting inspections across campus that focused on occupational safety.Durkin is also working with the research team to submit results from the wildfire project for publication.“I have always been a hard worker,” Durkin said. “It is great to be recognized for my academic achievements. I feel like it is the cherry on top of completing this program.”Durkin moved across the country to attend the UW in part because of its competitive rowing program.She has been a coxswain on the Husky women’s rowing team for the past four years, notching three PAC-12 championships and recognition as part of the PAC-12 All-Academic Team in 2017 and 2018. She will compete June 2 at the national championship for the first time.Durkin credits her UW peers, professors and teammates with teaching her how to build lasting relationships and make the most of the opportunities that have come her way.She chose to pursue her BS in Environmental Health because of a long-time fascination with the interaction between human health and the environment.“We are so dependent on the earth for our survival,” Durkin said. “But yet we pay little attention to how we treat the planet. I wanted to study environmental health to help be part of the solution.”Durkin is currently applying for jobs in occupational health, hoping to work in a community setting. Eventually, she can see herself in a nonprofit or academic setting and potentially pursuing an MBA degree to gain additional leadership skills.“I think a strength and weakness of mine is that I am interested in so many different things,” Durkin said. “Whatever field I end up pursuing, I want to continue to grow as a strong woman driven in her career.”Durkin's research was supported by the department's Environmental Health Research Experience Program: NIEHS grant #4R25ES021646-05."
"May 20, 2019 | Amanda Pain",Omenn award winner,"Shoreline, WAWorking on air pollution and climate change issues at the state or local level.“The remarkable support I received from DEOHS faculty, staff and students made all the difference in my experience at the UW.”- ANNIE DOUBLEDAYWith several weeks still to go before she graduates from the University of Washington, Annie Doubleday already has earned a reputation as a prolific researcher and author with an unusual breadth of skills spanning both environmental and occupational health.Doubleday, a Master of Public Health student in the UW Department of Environmental & Occupational Health Sciences (DEOHS), is listed as the lead author on five research articles that are published or in progress.Now she is adding one more accolade to her CV: Doubleday was recognized this month as winner of the Gilbert S. Omenn Award for Academic Excellence by the UW School of Public Health.“Students like Annie are indeed rare,” said her DEOHS faculty adviser, Tania Busch Isaksen. “She represents the very best we have to offer in the School of Public Health. I know she will make a tremendous impact in the field of environmental public health.”The Omenn award, given by faculty in the UW School of Public Health, recognizes contributions to public health, commitment to community engagement and leadership potential.Doubleday’s research with Busch Isaksen focused on the health effects associated with wildfire smoke. Doubleday conducted a statewide epidemiological analysis examining the association between mortality and wildfire smoke exposure.As part of her interdisciplinary research approach, she worked with atmospheric scientists, air pollution modelers, toxicologists and epidemiologists across state agencies.“The opportunity to collaborate with government agency staff was an important learning experience for me and has been valuable to both my professional and personal development,” Doubleday said.Her thesis work resulted in the first Pacific Northwest study on mortality associated with exposure to wildfire smoke and led to presentations at the state and national levels. State and local government agencies will use her research to inform risk communication efforts during future wildfire seasons.“None of this would have been possible without the support of Tania and other DEOHS faculty and staff,” she said.Doubleday didn’t stop there. She also worked with several other DEOHS mentors to take on research projects focused on the changing burden of workplace exposures in the Pacific Northwest region, the impact of Hurricane Harvey on physical activity and other public health aspects of climate change. Her advisers praise her research abilities, writing and communication skills and data management and analysis.“Annie stands out as one of the most thoughtful, resourceful and talented students I have encountered,” said Marissa Baker, deputy director of the Northwest Center for Occupational Health & Safety. “Her work is not only of high quality but also of high impact on public health.”Doubleday also worked as a teaching assistant for the undergraduate Introduction to Environmental Health course and served as a graduate student representative for the department’s MPH Oversight Committee.She said teaching helped her build skills in working with students one-on-one, as well as in communicating public health concepts to a wider audience.“Through my thesis work, I had the opportunity to work on an interdisciplinary team,” Doubleday said. “I learned how to work effectively with a diverse group, as well as develop my communication and presentation skills.”Doubleday is currently job-hunting, hoping to work in state or local government on issues related to air pollution and climate change."
"May 16, 2019 | Jolayne Houtz",Protecting precarious workers,"UW DEOHS faculty and research will help inform state policy as part of several bills passed by the Washington State Legislature this spring:A UW student’s internship with the Washington State Legislature this spring helped pave the way for new labor policies that could protect some of the state’s most vulnerable workers.Trevor Peckham, a doctoral student in the UW Department of Environmental & Occupational Health Sciences (DEOHS), studies temporary workers and others in “precarious” employment arrangements.During his recent internship with state Sen. Karen Keiser (D-Kent), he shared research and recommendations about health and safety issues that temp workers face. Keiser, who chairs the Senate Labor & Commerce Committee, said she now intends to propose legislation next year to address these concerns.“You have to have facts...to make good choices,” Keiser said. Peckham’s work “helped me to focus better on what kinds of policy choices we can make to protect temporary workers.”We recently asked Peckham to reflect on his opportunity to help shape state policy—and how scientists can help bridge the gap between science and public policy.Precarious work is basically insecure and unstable employment with limited benefits or protections. This concept is often used to describe the ongoing shift away from “standard” employment (full-time, ongoing employment for one employer).Some call it the “gig economy,” in which workers are increasingly considered independent contractors rather than employees. There are many types of non-standard jobs, such as part-time, temporary or on-call work.Overall, we are talking about millions of workers nationwide, such as construction workers, janitors, health care workers and many others.Workers in these non-standard jobs typically have fewer employee rights, lower wages and more instability than regular workers. The new realities of work require new ways of thinking about how we keep all types of workers safe on the job.For example, we know that temporary agency workers in Washington face twice the risk of on-the-job injury compared to permanent workers. That may be because they have less training, are less familiar with worksite hazards, are assigned to high-hazard tasks or are reluctant to exercise their rights regarding working conditions.Often, there is confusion over who is responsible for worker health and safety when two different employers are involved. The temporary staffing agency hires and manages the worker. The host employer controls the working conditions. There may be very limited communication between them, and the worker can be left unprotected.Additionally, these types of employment arrangements can be used by host employers to avoid financial liability for worker injuries, creating a perverse incentive not to invest in safe working conditions.It’s also worth noting that traditionally marginalized populations, including racial and ethnic minorities, women and lower-educated and lower-skilled workers, tend to be overrepresented in non-standard employment, including temp agency work.The internship made me realize there is a massive policy vacuum around these workers. Worker health and safety issues are very compelling for lawmakers and other stakeholders, but this issue was not really on their radar.With support from Sen. Keiser and her staff, I helped organize a work session with state lawmakers that included testimony by labor advocates, staffing agencies and state experts on health and safety issues for temp workers.And I developed a report with recommendations on different policy solutions, including regulating the kinds of work temp workers can be hired to do or requiring more communication among the host employer, the staffing agency and the worker.I really believe we have a duty as scientists to help close the gap between the research we do and the positive impact it can have on people's lives and livelihoods.My research isn’t just about labor market trends. It is connected to many related issues—social justice, wealth inequality, worker protections, public health, to name a few.As scientists, I think we must do a better job of highlighting these issues for policymakers. When we frame our work in terms of how it affects real people, that resonates with them. No worker should die or get hurt on the job—that’s something everyone can agree on.[laughing] …. I think I’ll leave elected office to the professionals for now, though I look forward to future opportunities to serve as a bridge between policy and science."
"May 16, 2019 | Jolayne Houtz",2019 DEOHS award winners,"This month, students and staff from the UW Department of Environmental & Occupational Health Sciences (DEOHS) are being honored by the department and the UW School of Public Health (SPH) for their contributions to scientific research, education and community service.Annie Doubleday is an MPH student who has worked on several projects related to disaster response and climate impacts, including research on wildfire smoke associated with health effects. She has presented at several conferences at the state and national levels and also serves as a teaching assistant.         Joseph Dempsey is a PhD student in Environmental Toxicology who is exploring the gut microbiome to understand how this highly complex ecosystem shapes human health and disease and how early exposure to environmental toxicants and drugs might alter the gut microbiome and impact health later in life.         Kholood Altassan is a PhD student in Environmental and Occupational Hygiene whose research focuses on climate, migration and dengue fever in her native Saudi Arabia. She is also an educator and guest lecturer when in the Middle East and has been appointed assistant professor at King Saud University starting in fall 2019.         Kori VanDerGeest is an MPH student who has worked closely with stakeholders at the local and state levels as part of her safe water research. She has presented public comments to the Governor's Interagency Council on Health Disparities regarding nitrates in groundwater and has engaged well-water users, county officials, state officials, community organizers and researchers as part of her research to identify barriers to well-water testing.         Amanda Durkin is an Environmental Health major with a strong academic record who is also an athlete on the UW rowing team. In 2018, she served as an intern with Methow Valley Clean Air Project, where she collaborated with a community organization to educate residents about the impacts of poor air quality.         Kit Galvin is a research scientist with the Pacific Northwest Agricultural Safety and Health Center, part of DEOHS. Her research focuses on agricultural worker safety. Most recently, she led a team that developed a new mobile application called PestiSafe that delivers detailed pesticide safety information in Spanish and English.         Rebekah PetroffAlex Kossik"
"May 14, 2019 | Starre Vartan",Fighting dengue with data,"Riyadh, Saudi ArabiaAssistant professor at King Saud University, Saudi Arabia.“If I was going to spend this much time on a research project, I wanted to dedicate it to an area that doesn’t get as much attention.”- KHOLOOD ALTASSANKholood Altassan knew that she wanted to improve the health of people in her home country of Saudi Arabia even before she figured out exactly how.“There’s less public health infrastructure there. That’s what got me most excited—that there’s so much that could be done,” she said. Altassan is being recognized this month as the 2019 Outstanding PhD student in the UW Department of Environmental & Occupational Health Sciences (DEOHS).After graduating from medical school at King Saud University and earning a Master’s in Public Health at George Washington University in 2013, Altassan realized she wanted to do more research in infectious diseases and microbiology.She began pursuing her PhD at the UW in Environmental and Occupational Hygiene. Still, it felt as if there was a piece missing until she took a DEOHS class on infectious disease and climate change that finally brought it all together for her.Now that she knew what she wanted to do, Altassan next had to find an adviser. Associate Professor Jeremy Hess had just arrived at the UW, too, and he gave the influential lecture on climate change and environmental health to Altassan’s seminar class.“Not a lot of our advisers are willing to work in a foreign country they are not familiar with, but it was really important to me to work in Saudi Arabia,” said Altassen. As a global health researcher, Hess welcomed the challenge.“People try to dissuade you about being stubborn about your idea and suggest latching onto whatever the faculty are already doing,” Altassan said. “But it was a personal thing to me, to do something in my country and to do something useful. Professor Hess supported that.”Altassan had a specific project in mind: The head of Environmental Health in Saudi Arabia told her the country was struggling with dengue fever, a painful, mosquito-borne disease that can cause fever, failure of the circulatory system, massive bleeding and death.“The first outbreak happened in the mid-1990s. Now it’s endemic and getting worse every year,” she said. Altassan wanted to investigate the potential connection between climate change and dengue, an area that had never been studied in Saudi Arabia.“Her work is breaking new ground on multiple fronts,” Hess said: first, by looking at dengue emergence in the Middle East; then, by looking at the potential role of climate change in dengue’s emergence in that part of the world. And finally, by looking at the role of migration in the emergence and persistence of the dengue epidemic there—another little-studied area.Getting the data to begin her research proved to be another challenge.“Data collection isn’t the way it is in the US. Saudi Arabia doesn’t have a lot of widely available data sets, and there was a lot of bureaucracy to get what they did have,” Altassan said.It took a lot of legwork and visits to multiple public health centers in two cities. “I got the information drop-by-drop, year-by-year,” she said.Meanwhile, she had plenty of other work to do while waiting for the numbers to roll in. Altassan trained on new software and tested her data analysis with climate data sets. She ran regression models and put together a literature review paper for publication.Her analysis so far indicates that climate is a factor that’s playing a larger role in the incidence of dengue.Altassan will continue her research, as well as other environmental health projects, when she returns to King Saud University as an assistant professor in the family and community medicine department at the College of Medicine in fall 2019."
"May 9, 2019 | Allegra Abramo",The science of workplace safety,"Industrial hygiene wasn’t on the short list of career choices for Noah Seixas until he got an up-close look at a workplace incident that exposed millions of people to a hazardous chemical.Seixas was an undergraduate student in the 1970s when an internship took him to Michigan following an incident in which a toxic flame retardant was mistakenly mixed with livestock feed. Millions of people ate contaminated meat and dairy products before the mix-up was discovered, causing lingering health effects that are still being investigated today.The experience of working with farmers and their families, who were particularly affected, “was just enormously impressive to me,” Seixas said.It launched him on a long and prominent career that has advanced the science of workplace exposures and contributed to better working conditions in many industries.In May, Seixas will receive the American Industrial Hygiene Association’s prestigious Donald E. Cummings Memorial Award, which recognizes outstanding contributions to the knowledge and practice of industrial hygiene.In his 26 years as a professor in the UW Department of Environmental & Occupational Health Sciences, Seixas has investigated the health effects of welding fumes, construction noise, stress among women in the building trades and the ways in which working conditions influence health disparities.The breadth and impact of Seixas’s work inspired Marissa Baker, a DEOHS acting assistant professor, to nominate him for the award. “Noah is extremely committed to a safer and healthier work environment for all workers,” said Baker, who worked in Seixas’s lab before earning her doctorate under his tutelage.Early in his career, Seixas made his mark designing innovative approaches to quantify exposure to chemicals such as coal dust, silica and manganese. His epidemiological study of silica miners, for example, provided the International Agency for Research on Cancer with important evidence to declare silica a lung carcinogen.Seixas also developed a novel approach to estimate construction workers’ noise exposure. By following 250 apprentices for a decade, the study was able to show “the importance of protecting young ears,” Seixas said.After studying injuries among day laborers, Seixas began to think more broadly about the role work plays in people’s well-being. People with lower socioeconomic status tend to have poorer health outcomes, Seixas said.“But what we don’t think about is how work contributes to those disparities.” he said. “As a result, we don’t see work as a place where one can intervene to improve the health of people with lower social status.”In recent years, Seixas helped create a mentoring program for women sheet metal workers who face added on-the-job stress due to discrimination and harassment. The sheet metal workers union now hopes to expand the successful pilot program nationwide.Seixas has influenced the professional paths of hundreds of students over his years in the department, said Martin Cohen, DEOHS senior lecturer and assistant chair who also nominated Seixas for the award.Seixas calls himself “an industrial voyeur” who loves watching how things are made and sharing that passion with his students through visits to industrial workplaces such as a steel plant and a pulp mill.“It blows their minds,” he said. Most have no idea such hazardous working conditions exist in high-tech Seattle. “It turns them on to the importance of the work they are learning to do.”Seixas directs the Northwest Center for Occupational and Health Safety and also serves as chief editor of the Annals of Work Exposures and Health."
"May 2, 2019 | DEOHS Communications",Antibiotic resistance in orcas,"“Anything potentially pathogenic in their bodies is of grave concern.”–MARILYN ROBERTSFor 17 days last summer, the world was riveted by the sight of one of Puget Sound’s southern resident killer whales carrying her dead calf in what seemed like an act of mourning before finally letting the calf go.The tragedy focused new attention on the three endangered orca pods that live along the inner waters of Washington and British Columbia. Since 2015, none of their calves has survived.“There were 98 whales in the pods in 1995,” said Marilyn Roberts, professor in the UW Department of Environmental & Occupational Health Sciences (DEOHS). “Now we’re down to 78.”Roberts is among the authors of newly published research showing that orcas can carry antibiotic-resistant, potentially pathogenic strains of E. coli, ST73 and ST127, that may come from their environment or food.While more research is needed to determine if this is causing disease that could contribute to the orcas’ decline, “anything potentially pathogenic in their bodies is of grave concern,” Roberts said.Previous research suggested that exhaled whale breath contained potentially pathogenic bacteria, but no one had ever looked for Escherichia coli in this critically endangered species.Roberts, who specializes in antibiotic resistance, and Daira Melendez, DEOHS master’s student in Environmental Health, used whole genome sequencing to analyze nine E.coli samples isolated from the resident pods’ fecal samples.The research was funded in part by the UW Center for One Health Research, housed in DEOHS.To collect the samples, trained rescue dogs went out on boats in the Salish Sea. The dogs can smell orca feces from as far away as a nautical mile. Samples were collected and centrifuged into small pellets on the boat and then taken back to the lab for genome analysis.The researchers only expected to find one antibiotic-resistant gene. “Instead, we identified three and segments of a fourth,” said Melendez. In people, these strains cause urinary tract disease. But it’s not yet known what they do to whales.The Salish Sea is full of pollutants: Previous research has found antibiotic residue around sewer treatment discharge and in wild Chinook salmon in the area.“This research highlights the importance of One Health and the interrelationship between human, animal and environmental health,” Melendez said. “The orcas act as sentinels for the health of the Salish Sea—and the effects of pollution caused by humans on marine life.”Further research is needed to determine if the whales, as apex predators, acquired E. coli from their diet or directly from the water, the researchers said.Earlier this year, the Washington State Legislature passed a package of bills that would regulate products containing chemicals that are harmful to the whales as well as reduce noise pollution and change fish catch limits.“We’re desperately trying to save the population,” Roberts said, pointing to discussions of breaching dams on the Snake River. “But we don’t even know what’s causing the decline. Is it that they’re starving, or is it contaminants?”Since the 1950s, antibiotic resistance in people has risen sharply. So perhaps it's no surprise that researchers are finding a similar increase in our environment.Much of the resident whales’ territory intersects urbanized environments, including the large metropolitan areas of Seattle, Bellingham and Vancouver. “Wherever animals interact with people, they share pathogens,” Roberts said.But the effect may be even more widespread than we realize.Researchers studying marine mammals in Antarctica also found E.coli strains ST73 and ST127, resistant to ampicillin, among other drugs. When you compare newer strains of E.coli to older strains, “you find much more drug resistance,” Roberts said.Co-authors on the paper include DEOHS Professor Peter Rabinowitz and DEOHS Research Scientist David No; Alexander Greninger, UW School of Medicine; Scott Weissman, Seattle Children’s; and Samuel Wasser, UW Department of Biology."
